OTU	A01	A02	A03	A04	A05	A06	A07	A08	A09	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A20	A21	A22	A23	A24	A25	A26	A27	A28	A29	A30	realm	phylum	class	order	family	genus	species
ZOTU1391	57	1	2	5	0	1	71	2	11	4	4	5	2	0	1	1	1	6	0	0	1	0	0	0	1	5	1	0	1	7	Bacteria	 Firmicutes	 	 	 	 	 
ZOTU494	8	13	2	4	19	9	2	4	4	100	155	150	137	58	109	111	149	165	35	3	37	25	24	14	285	77	60	110	93	105	Bacteria	 Bacteroidetes	 Bacteroidia	 Bacteroidales	 Porphyromonadaceae	 Butyricimonas	 
ZOTU354	10	28	12	4	47	26	1	6	8	9	13	8	93	53	88	5	15	17	0	0	0	0	0	1	0	0	0	52	58	0	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Ruminococcaceae	 Ruminococcaceae_UCG-010	 
ZOTU1436	19	53	38	34	28	15	1	5	3	29	52	20	60	33	35	15	12	26	0	0	0	0	0	0	0	0	0	97	79	0	Bacteria	 Firmicutes	 	 	 	 	 
ZOTU1359	67	2	6	1	2	3	27	0	1	2	4	29	1	1	4	0	2	8	0	0	1	0	0	1	0	0	0	3	1	5	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 	 	 
ZOTU816	42	7	40	43	11	4	10	4	15	26	46	28	19	7	15	28	27	27	25	0	16	3	0	0	0	6	2	3	1	8	Bacteria	 Actinobacteria	 Actinobacteria	 Bifidobacteriales	 Bifidobacteriaceae	 Bifidobacterium	 
ZOTU969	59	3	18	20	0	2	80	13	39	14	22	37	6	2	1	7	4	11	0	0	0	0	0	0	0	0	0	10	13	0	Bacteria	 Firmicutes	 	 	 	 	 
ZOTU220	60	7	59	46	19	11	41	85	75	11	13	11	31	8	19	16	17	25	316	363	381	415	207	235	268	512	517	18	19	1657	Bacteria	 Actinobacteria	 Actinobacteria	 Bifidobacteriales	 Bifidobacteriaceae	 Bifidobacterium	 
ZOTU576	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	86	5	108	1	0	0	37	81	59	0	0	2	Bacteria	 Actinobacteria	 Actinobacteria	 Bifidobacteriales	 Bifidobacteriaceae	 Bifidobacterium	 
ZOTU1392	2	2	1	0	2	1	0	0	0	0	0	0	3	2	5	0	0	2	0	0	0	1	0	0	0	0	0	9	7	8	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Ruminococcaceae	 Subdoligranulum	 uncultured_bacterium
ZOTU1112	47	0	58	35	0	0	1	0	0	26	65	52	0	0	0	15	22	15	373	1011	49	6	0	1	0	0	0	0	0	0	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Clostridiaceae_1	 	 
ZOTU659	7	78	10	2	134	120	3	7	6	5	17	20	650	298	346	19	33	25	4	7	11	31	20	13	14	30	40	2205	2704	1044	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Lachnospiraceae	 	 
ZOTU462	51	10	50	20	12	9	52	45	33	25	39	38	14	15	29	49	58	81	0	0	0	0	0	0	0	0	0	22	10	0	Bacteria	 Bacteroidetes	 Bacteroidia	 Bacteroidales	 Porphyromonadaceae	 Butyricimonas	 
ZOTU1343	30	2	5	5	7	6	31	20	35	3	12	10	32	9	10	3	1	3	0	0	0	0	0	0	0	0	0	18	14	0	Bacteria	 Firmicutes	 Negativicutes	 Selenomonadales	 Acidaminococcaceae	 Phascolarctobacterium	 
ZOTU256	21	55	17	10	123	123	14	59	41	11	26	25	204	105	437	20	45	45	95	168	130	213	123	186	163	237	386	1033	895	3056	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Clostridiaceae_1	 Clostridium_sensu_stricto_1	 uncultured_bacterium
