OTU	A01	A02	A03	A04	A05	A06	A07	A08	A09	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A20	A21	A22	A23	A24	A25	A26	A27	A28	A29	A30	realm	phylum	class	order	family	genus	species
ZOTU313	3	11	10	0	24	13	2	4	4	10	11	5	62	38	77	9	18	15	3	1	8	16	5	3	14	22	30	87	113	1211	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Ruminococcaceae	 Ruminiclostridium_6	 
ZOTU1412	18	4	82	44	5	3	0	5	2	32	49	46	9	5	8	45	52	71	0	0	0	0	0	0	0	0	0	14	9	0	Bacteria	 Actinobacteria	 Coriobacteriia	 Coriobacteriales	 Coriobacteriaceae	 Senegalimassilia	 uncultured_bacterium
ZOTU1023	2	3	0	1	9	4	1	2	2	1	0	1	3	5	6	1	1	4	0	0	1	3	0	1	0	0	0	9	11	10	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Ruminococcaceae	 uncultured	 
ZOTU1298	17	0	24	30	0	0	0	0	0	2	26	19	0	0	0	4	7	5	80	208	16	3	0	0	0	0	0	0	0	0	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Clostridiaceae_1	 	 
ZOTU260	20	47	26	14	33	61	4	10	11	17	37	17	62	50	98	44	93	74	11	5	15	50	25	34	26	21	36	125	109	290	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Lachnospiraceae	 Blautia	 uncultured_bacterium
ZOTU425	40	29	27	8	53	31	134	30	187	23	46	45	97	48	80	23	28	44	0	0	0	0	0	0	0	0	0	227	209	1	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Ruminococcaceae	 Ruminococcaceae_UCG-005	 uncultured_bacterium
ZOTU948	2	0	2	1	3	0	13	5	7	0	0	7	3	2	5	3	3	0	0	0	0	0	0	0	0	0	1	1	3	0	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Ruminococcaceae	 uncultured	 
ZOTU1073	8	4	96	79	5	2	0	1	1	21	72	46	7	6	3	42	23	69	0	0	0	0	0	0	0	0	0	4	2	0	Bacteria	 Actinobacteria	 Coriobacteriia	 Coriobacteriales	 Coriobacteriaceae	 	 
ZOTU881	3	14	0	2	13	12	3	1	1	0	2	1	11	8	14	3	4	0	2	4	2	4	1	0	1	4	1	16	16	9	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Streptococcaceae	 Streptococcus	 
ZOTU1421	14	13	0	1	19	16	16	6	11	2	1	3	25	15	11	0	1	0	2	0	0	4	2	0	0	0	5	0	0	0	Bacteria	 	 	 	 	 	 
ZOTU307	2	4	5	1	7	4	5	2	1	6	7	4	9	1	11	5	6	9	150	10	266	71	16	23	28	47	25	4	3	222	Bacteria	 Actinobacteria	 Coriobacteriia	 Coriobacteriales	 Coriobacteriaceae	 Gordonibacter	 
ZOTU419	88	15	58	31	17	15	77	66	76	38	61	56	37	20	40	64	88	95	0	0	0	0	0	0	0	0	0	23	14	0	Bacteria	 Bacteroidetes	 Bacteroidia	 Bacteroidales	 Porphyromonadaceae	 Butyricimonas	 
ZOTU1358	8	19	13	5	28	18	2	1	0	2	11	4	23	11	9	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	 	 	 	 	 	 
ZOTU982	16	17	13	7	16	6	2	0	5	8	20	9	43	27	25	9	7	23	1	0	1	0	0	0	0	0	0	7	11	7	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Ruminococcaceae	 	 
ZOTU491	7	7	5	4	1	1	8	4	9	1	4	1	15	11	13	0	3	1	4	0	3	6	2	5	20	6	5	24	29	83	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Ruminococcaceae	 Oscillospira	 
ZOTU850	1	8	0	0	4	9	1	1	2	0	0	2	15	5	10	0	2	0	0	0	0	1	2	2	2	3	2	3	8	6	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Ruminococcaceae	 Ruminococcaceae_UCG-014	 
ZOTU633	4	8	2	0	5	8	3	5	4	4	7	2	18	9	29	5	3	2	0	1	0	1	1	6	2	1	2	17	22	4	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Defluviitaleaceae	 Defluviitaleaceae_UCG-011	 uncultured_bacterium
ZOTU1277	11	0	3	3	2	1	14	6	14	2	7	7	7	0	0	5	0	5	1	0	0	0	0	0	112	0	0	4	3	11	Bacteria	 Bacteroidetes	 Bacteroidia	 Bacteroidales	 Bacteroidaceae	 Bacteroides	 uncultured_bacterium
ZOTU103	52	106	273	113	211	150	50	86	81	119	175	138	267	127	200	176	287	202	366	281	389	1085	630	627	570	873	725	1326	2238	10212	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Lachnospiraceae	 	 
ZOTU1216	31	41	38	39	13	10	3	5	4	37	76	30	56	20	20	36	43	80	4	0	1	2	0	1	1	4	1	31	32	46	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Ruminococcaceae	 Faecalibacterium	 uncultured_bacterium
ZOTU1452	26	74	47	20	257	119	5	6	12	16	46	52	169	103	90	18	22	28	265	552	27	125	93	52	17	11	8	0	0	0	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacteriales	 Enterobacteriaceae	 Escherichia-Shigella	 
ZOTU448	4	4	2	3	3	8	3	0	1	0	1	3	19	7	19	6	2	7	2	0	0	0	0	2	0	0	1	56	39	6	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Ruminococcaceae	 Ruminococcaceae_UCG-005	 
ZOTU501	34	0	34	15	4	0	95	114	134	17	20	22	6	5	8	26	29	28	0	0	0	0	0	0	2	0	0	5	1	0	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Ruminococcaceae	 	 
ZOTU549	11	8	2	3	10	12	5	4	3	0	1	2	18	13	28	3	5	6	0	0	0	0	0	0	0	0	0	25	20	0	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Ruminococcaceae	 Intestinimonas	 
ZOTU502	5	34	7	7	33	36	1	1	5	2	6	2	67	19	64	8	19	8	0	0	0	0	0	0	0	0	0	85	86	0	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Lachnospiraceae	 Roseburia	 uncultured_bacterium
ZOTU967	10	19	7	2	14	5	6	15	12	2	6	11	22	14	20	2	1	3	0	0	0	0	0	0	0	0	0	27	27	0	Bacteria	 Firmicutes	 	 	 	 	 
ZOTU1389	15	4	19	11	5	4	12	3	10	9	11	10	17	5	10	2	2	3	0	0	0	0	0	0	0	0	0	2	0	0	Bacteria	 Firmicutes	 Negativicutes	 	 	 	 
ZOTU1127	19	0	516	170	0	0	0	0	0	199	516	195	0	0	0	341	476	648	8	1	1	0	0	0	0	0	0	1	2	0	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Lachnospiraceae	 	 
ZOTU472	3	46	9	2	34	53	0	6	3	8	6	3	89	48	109	15	9	13	0	0	0	0	0	0	0	0	0	117	112	0	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Clostridiales_vadinBB60_group	 	 
ZOTU956	9	1	3	0	0	0	43	0	2	0	0	2	3	1	2	0	2	1	0	0	0	0	0	0	0	0	0	4	7	0	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Ruminococcaceae	 	 
ZOTU783	2	5	2	1	14	7	0	0	0	1	2	1	21	7	15	1	4	5	0	0	0	0	1	0	0	0	0	29	33	7	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Peptococcaceae	 uncultured	 uncultured_bacterium
ZOTU457	19	37	9	6	53	57	6	4	8	4	8	8	97	46	99	7	11	11	3	0	4	3	0	2	4	5	4	92	98	43	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Ruminococcaceae	 Anaerotruncus	 uncultured_bacterium
ZOTU1314	20	22	5	8	13	11	2	1	0	4	15	11	18	11	10	5	0	5	0	1	0	1	1	1	0	0	0	3	12	3	Bacteria	 Verrucomicrobia	 Verrucomicrobiae	 Verrucomicrobiales	 Verrucomicrobiaceae	 Akkermansia	 uncultured_bacterium
ZOTU1013	22	45	37	27	34	28	4	1	4	28	38	32	84	36	33	34	41	81	0	0	1	2	0	0	0	0	0	27	46	38	Bacteria	 Actinobacteria	 Coriobacteriia	 Coriobacteriales	 Coriobacteriaceae	 Collinsella	 uncultured_bacterium
ZOTU961	32	0	13	37	0	0	0	0	0	18	25	18	0	0	0	19	13	34	274	40	34	1	0	0	0	0	1	0	0	0	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 	 	 
ZOTU451	3	5	2	0	8	8	1	2	5	1	4	5	8	7	10	4	4	5	0	0	0	0	0	0	0	0	0	26	29	0	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Ruminococcaceae	 Ruminococcaceae_UCG-005	 uncultured_bacterium
ZOTU423	19	46	55	33	101	46	26	23	36	9	14	21	94	53	72	36	40	30	15	2	13	20	2	9	14	12	12	36	31	24	Bacteria	 Actinobacteria	 	 	 	 	 
ZOTU1431	24	133	27	39	156	105	2	1	2	17	64	49	193	137	126	11	17	16	7	14	19	98	64	75	18	32	15	0	0	0	Bacteria	 	 	 	 	 	 
ZOTU1489	26	25	51	33	30	18	16	1	2	35	62	34	62	38	37	46	40	89	6	0	4	2	1	1	0	1	0	75	60	24	Bacteria	 Actinobacteria	 Coriobacteriia	 Coriobacteriales	 Coriobacteriaceae	 Collinsella	 uncultured_bacterium
ZOTU617	4	11	4	0	24	20	4	10	1	3	8	7	38	20	78	6	6	10	0	0	0	0	0	0	0	0	0	95	67	0	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Lactobacillaceae	 Lactobacillus	 
ZOTU1120	16	0	1	0	0	0	21	52	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	 Firmicutes	 Negativicutes	 	 	 	 
ZOTU236	10	2	0	0	0	0	28	7	10	0	0	2	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	1	1	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Lachnospiraceae	 Blautia	 
ZOTU1333	3	2	7	0	4	4	1	8	3	0	4	3	11	8	10	2	2	1	0	0	0	0	0	0	0	0	0	22	26	0	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Lachnospiraceae	 	 
ZOTU1164	31	51	31	23	32	21	4	13	19	20	48	31	60	43	35	25	35	49	7	0	12	3	1	1	7	22	14	59	74	73	Bacteria	 Actinobacteria	 Actinobacteria	 Bifidobacteriales	 Bifidobacteriaceae	 	 
ZOTU1175	4	0	0	0	0	0	6	24	16	0	0	0	0	0	0	0	0	0	21	3	107	0	0	0	42	322	243	0	0	0	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Enterococcaceae	 Enterococcus	 
ZOTU144	3	6	1	5	11	7	44	4	11	4	4	5	11	8	17	5	5	9	0	0	1	3	1	3	1	0	0	4	4	5	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Lachnospiraceae	 	 
ZOTU295	5	7	4	1	12	8	5	16	11	2	7	7	31	6	27	12	6	2	0	0	1	2	0	0	3	1	0	59	57	12	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Ruminococcaceae	 Ruminiclostridium_9	 
ZOTU551	3	0	0	0	0	0	7	3	9	0	0	0	0	0	0	0	1	1	1	0	4	0	0	0	270	6	10	0	1	0	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Family_XI	 Finegoldia	 uncultured_bacterium
ZOTU1373	12	2	51	55	0	2	0	0	1	18	27	21	2	0	0	26	11	20	0	0	0	0	0	0	0	0	0	1	1	0	Bacteria	 Actinobacteria	 	 	 	 	 
ZOTU547	9	44	12	4	65	63	11	15	10	5	3	10	58	48	64	5	10	10	1	0	2	1	5	2	1	2	1	25	30	9	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Ruminococcaceae	 uncultured	 uncultured_bacterium
ZOTU515	6	4	2	1	7	7	7	8	10	2	1	3	10	4	8	3	2	2	1	0	2	1	1	3	2	0	0	3	1	5	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Ruminococcaceae	 uncultured	 uncultured_bacterium
ZOTU465	5	6	1	0	21	12	0	2	1	0	1	4	35	18	43	2	2	0	0	0	0	0	0	0	0	0	0	11	18	0	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Ruminococcaceae	 Ruminococcaceae_UCG-010	 uncultured_bacterium
ZOTU1408	11	23	5	5	21	10	34	9	5	9	13	9	39	29	21	11	2	27	1	1	0	0	0	1	1	1	0	28	44	28	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 	 	 
ZOTU1247	18	7	90	43	3	5	0	0	0	45	116	52	3	3	6	30	35	40	1	0	1	2	1	3	1	1	1	0	0	0	Bacteria	 	 	 	 	 	 
ZOTU978	18	3	116	108	5	5	1	0	1	39	86	50	12	5	5	60	46	62	0	0	0	0	0	0	0	0	0	5	6	0	Bacteria	 Actinobacteria	 Coriobacteriia	 Coriobacteriales	 Coriobacteriaceae	 	 
ZOTU1306	1	1	1	0	2	1	0	0	0	1	0	0	0	2	7	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Clostridiales_vadinBB60_group	 uncultured_bacterium	 uncultured_bacterium
ZOTU473	15	30	7	8	44	23	11	7	10	3	6	3	55	40	55	6	10	10	4	1	5	14	6	6	10	5	8	27	19	68	Bacteria	 Bacteroidetes	 Bacteroidia	 Bacteroidales	 Rikenellaceae	 Alistipes	 
ZOTU452	1	4	5	0	3	3	0	2	0	1	1	3	8	1	8	0	0	1	0	1	0	3	1	0	2	0	0	14	14	3	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Ruminococcaceae	 Anaerotruncus	 
ZOTU658	16	28	23	14	72	75	16	27	30	34	44	32	103	66	85	25	42	41	30	12	31	68	47	56	73	39	40	61	74	308	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Lachnospiraceae	 uncultured	 uncultured_bacterium
ZOTU839	7	20	4	1	25	13	0	9	8	2	5	5	41	17	36	3	4	4	0	0	0	0	0	0	0	0	0	12	3	0	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Defluviitaleaceae	 Defluviitaleaceae_UCG-011	 uncultured_bacterium
ZOTU757	4	2	2	2	4	5	9	6	10	3	1	5	4	5	6	1	3	4	0	0	1	1	0	0	3	2	0	7	5	10	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Ruminococcaceae	 uncultured	 uncultured_bacterium
ZOTU321	8	33	11	1	46	41	3	5	6	19	6	45	64	34	66	13	11	25	2	0	2	3	4	2	3	1	2	37	31	21	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Lachnospiraceae	 [Eubacterium]_hallii_group	 uncultured_bacterium
ZOTU1284	7	3	9	6	2	3	4	1	2	5	6	3	7	5	3	3	0	2	1	0	2	0	0	0	0	0	0	2	0	0	Bacteria	 	 	 	 	 	 
ZOTU1012	5	1	2	5	2	6	4	5	9	3	4	1	6	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	 Firmicutes	 Negativicutes	 Selenomonadales	 Acidaminococcaceae	 Phascolarctobacterium	 
ZOTU734	2	2	2	0	4	2	1	0	3	0	0	0	8	6	9	1	2	2	0	0	0	0	0	0	0	0	0	9	19	0	Bacteria	 Bacteroidetes	 Bacteroidia	 Bacteroidales	 Porphyromonadaceae	 Coprobacter	 
ZOTU1167	13	2	5	2	7	2	12	9	15	3	2	8	2	0	0	0	1	2	2	3	3	9	4	4	1	3	2	0	0	0	Bacteria	 	 	 	 	 	 
ZOTU636	12	63	26	11	78	81	13	13	14	28	29	47	117	73	128	27	39	45	0	0	0	0	0	0	1	0	0	92	102	0	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 	 	 
ZOTU686	3	14	2	2	14	11	1	2	0	2	5	1	30	7	24	4	5	6	0	0	0	2	0	2	2	0	0	24	18	2	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Christensenellaceae	 	 
ZOTU1320	7	32	1	1	36	15	2	1	3	4	12	6	46	23	54	6	6	9	6	1	0	0	1	0	0	1	1	47	47	4	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Ruminococcaceae	 Subdoligranulum	 uncultured_bacterium
ZOTU1508	5	2	28	19	1	1	2	1	1	25	61	28	5	1	2	46	44	119	0	0	0	0	0	0	0	0	0	11	4	10	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Lachnospiraceae	 	 
ZOTU1413	8	28	4	5	14	8	0	0	0	2	7	10	63	32	18	3	10	5	0	0	0	0	0	0	0	0	0	46	61	5	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Lachnospiraceae	 	 
ZOTU536	17	33	8	9	76	57	8	8	10	9	7	6	91	35	83	5	13	14	0	0	0	3	1	0	3	2	0	67	60	5	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Ruminococcaceae	 uncultured	 uncultured_bacterium
ZOTU434	12	25	11	6	32	29	9	7	9	8	4	7	52	24	55	6	8	10	1	0	1	3	2	7	5	3	0	49	35	10	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Christensenellaceae	 uncultured	 uncultured_bacterium
ZOTU247	5	1	6	4	25	9	8	16	8	5	5	7	25	11	18	13	7	11	2	2	3	5	2	2	4	7	3	86	64	40	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Ruminococcaceae	 uncultured	 uncultured_organism
ZOTU1280	20	2	7	4	0	0	0	0	0	4	9	13	5	5	5	24	12	57	0	0	0	0	0	0	1	0	0	27	19	40	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 	 	 
ZOTU1220	3	2	0	0	5	1	0	0	2	0	0	0	3	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Family_XI	 Ezakiella	 
ZOTU960	5	9	2	3	23	14	4	4	7	2	2	3	31	15	18	8	4	5	0	0	0	0	0	0	0	0	0	19	21	1	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Ruminococcaceae	 uncultured	 
ZOTU621	19	69	24	14	87	50	7	9	7	7	17	18	136	89	206	21	20	15	8	3	8	19	8	14	43	10	10	115	173	50	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Streptococcaceae	 Streptococcus	 
ZOTU1287	3	11	4	2	10	8	1	0	7	0	8	3	50	14	32	2	4	9	0	0	1	0	0	0	0	1	2	55	38	16	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Lachnospiraceae	 	 
ZOTU548	2	3	2	0	2	4	0	0	0	1	3	1	10	4	7	1	3	1	0	0	0	0	0	0	0	0	0	10	6	3	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Lachnospiraceae	 [Ruminococcus]_torques_group	 uncultured_bacterium
ZOTU407	3	2	3	1	7	4	0	0	5	1	5	2	16	7	7	4	1	2	0	0	0	0	0	0	0	0	0	15	6	0	Bacteria	 Bacteroidetes	 Bacteroidia	 Bacteroidales	 Rikenellaceae	 Alistipes	 Alistipes_sp._N15.MGS-157
ZOTU1174	3	0	12	13	1	0	0	0	0	11	62	24	1	3	0	48	47	123	0	0	0	0	0	0	1	0	0	3	2	1	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 	 	 
ZOTU1249	11	21	10	4	10	3	2	3	4	2	18	13	12	9	9	14	12	23	0	0	0	0	0	0	0	0	0	50	52	22	Bacteria	 	 	 	 	 	 
ZOTU546	8	7	36	22	15	21	2	4	2	19	74	37	19	11	22	57	99	130	3	0	0	0	0	0	0	0	0	45	49	0	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Lachnospiraceae	 	 
ZOTU31	2	0	0	9	5	0	4	0	0	0	1	1	0	0	10	1	0	2	0	0	1	0	3	1	1	0	1	1	0	1	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Ruminococcaceae	 Ruminococcus_2	 uncultured_bacterium
ZOTU520	5	3	0	1	2	4	2	0	2	1	1	2	7	0	9	0	0	0	0	0	0	0	0	0	2	0	1	3	6	1	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Lachnospiraceae	 Eisenbergiella	 
ZOTU1396	25	18	5	7	41	14	19	22	24	7	6	12	50	26	17	9	4	5	0	0	0	0	0	0	0	0	0	35	37	0	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Desulfovibrionales	 Desulfovibrionaceae	 Desulfovibrio	 
ZOTU1172	4	9	4	1	18	27	2	0	3	1	1	2	17	9	35	4	1	3	1	0	1	11	1	1	3	1	2	10	9	11	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales	 Actinomycetaceae	 Actinomyces	 
ZOTU765	4	12	3	4	24	23	3	7	2	2	6	6	33	23	52	4	7	6	0	0	0	1	2	2	0	1	0	23	13	3	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales	 Actinomycetaceae	 Actinomyces	 
ZOTU1074	8	15	1	1	14	9	0	2	0	1	0	4	22	8	12	1	0	3	4	1	6	8	2	4	0	1	0	0	0	0	Bacteria	 Proteobacteria	 	 	 	 	 
ZOTU288	7	33	15	7	30	18	2	8	5	18	23	45	84	31	66	18	15	18	4	4	6	24	9	14	12	8	8	218	209	98	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Family_XIII	 	 
ZOTU402	5	2	5	1	7	3	3	1	0	2	3	2	8	8	11	6	1	2	1	2	5	8	0	0	3	3	6	10	4	35	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Lachnospiraceae	 [Ruminococcus]_torques_group	 
ZOTU857	1	0	0	0	1	3	0	0	0	0	0	1	5	2	2	0	0	0	2	2	7	15	7	8	6	4	5	1	0	23	Bacteria	 Firmicutes	 Erysipelotrichia	 Erysipelotrichales	 Erysipelotrichaceae	 Solobacterium	 
ZOTU478	8	9	30	9	20	19	6	4	8	3	10	10	24	18	38	11	13	10	3	1	2	15	2	4	6	4	3	91	74	85	Bacteria	 Actinobacteria	 Coriobacteriia	 Coriobacteriales	 Coriobacteriaceae	 uncultured	 uncultured_bacterium
ZOTU1477	2	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	Bacteria	 Bacteroidetes	 Bacteroidia	 Bacteroidales	 Rikenellaceae	 Alistipes	 
ZOTU1217	11	98	4	12	41	14	0	0	0	10	27	12	156	69	105	11	15	40	0	0	0	2	0	1	1	2	0	86	99	42	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Ruminococcaceae	 Faecalibacterium	 uncultured_bacterium
ZOTU447	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Ruminococcaceae	 uncultured	 
ZOTU694	6	10	1	2	11	14	4	12	5	5	3	7	17	11	13	3	4	7	0	0	0	0	0	0	0	0	0	32	33	0	Bacteria	 Spirochaetae	 Spirochaetes	 Spirochaetales	 Brachyspiraceae	 Brachyspira	 
ZOTU1242	3	3	85	15	2	0	0	0	0	49	112	35	3	5	1	106	118	191	0	0	0	0	0	0	0	0	0	88	87	25	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Lachnospiraceae	 	 
ZOTU1154	5	163	2	1	141	93	0	1	0	4	8	2	242	142	118	2	2	4	0	0	0	15	13	9	0	0	1	1	1	9	Bacteria	 Firmicutes	 Clostridia	 	 	 	 
ZOTU471	5	1	2	2	4	1	52	1	20	2	3	5	0	1	0	6	3	3	0	0	0	0	0	0	0	0	0	3	1	4	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Lachnospiraceae	 	 
ZOTU499	9	24	4	2	42	34	4	11	11	5	13	21	97	59	98	8	7	15	0	0	0	0	0	0	0	0	0	72	21	1	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Christensenellaceae	 Christensenellaceae_R-7_group	 uncultured_bacterium
ZOTU1410	2	5	5	3	19	9	3	4	2	5	5	4	14	5	15	5	4	11	4	7	12	28	13	15	9	13	13	12	15	82	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Lachnospiraceae	 uncultured	 
ZOTU488	4	10	7	3	2	3	10	0	1	8	14	5	23	9	14	11	8	9	17	5	15	15	1	8	23	36	25	220	328	391	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Lachnospiraceae	 uncultured	 
ZOTU217	3	6	3	3	16	10	1	0	1	11	3	10	48	32	106	7	6	13	49	21	65	109	54	72	57	115	103	1360	1109	1240	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Ruminococcaceae	 [Eubacterium]_coprostanoligenes_group	 
ZOTU278	5	3	5	2	4	1	1	2	1	6	1	4	16	6	5	3	4	4	0	0	0	0	0	0	0	0	0	36	42	0	Bacteria	 Bacteroidetes	 Bacteroidia	 Bacteroidales	 Bacteroidales_S24-7_group	 gut_metagenome	 gut_metagenome
ZOTU1365	12	0	56	141	0	0	1	0	0	38	53	53	0	0	0	85	55	146	2	0	0	0	0	0	0	0	0	0	0	0	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 	 	 
ZOTU1470	2	2	1	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 	 	 
ZOTU661	2	4	1	0	3	1	0	0	0	1	0	1	1	1	2	1	0	0	371	1	991	8	7	14	9	8	8	1	1	74	Bacteria	 Firmicutes	 Negativicutes	 Selenomonadales	 Veillonellaceae	 Veillonella	 
ZOTU1299	5	23	11	6	52	23	3	4	7	1	6	9	51	14	38	6	4	11	3	7	12	36	21	22	11	13	6	24	54	46	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Ruminococcaceae	 Subdoligranulum	 uncultured_bacterium
ZOTU1057	13	0	56	118	0	0	0	1	0	32	59	88	0	0	0	68	44	141	3	1	1	0	0	0	0	0	0	0	0	0	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Clostridiaceae_1	 	 
ZOTU1435	7	45	2	2	42	26	5	5	6	2	2	3	114	37	34	1	1	2	0	2	0	1	0	0	1	0	0	10	5	5	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 	 	 
ZOTU1078	2	4	1	1	2	5	0	1	1	0	2	2	5	4	8	2	1	0	0	0	0	0	0	0	0	0	0	2	3	0	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Ruminococcaceae	 Ruminococcaceae_UCG-014	 uncultured_bacterium
ZOTU818	5	5	3	1	17	16	2	7	1	4	3	2	22	6	19	1	3	2	3	0	0	4	1	0	1	2	4	9	4	0	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Christensenellaceae	 Christensenellaceae_R-7_group	 uncultured_bacterium
ZOTU569	5	34	11	4	29	14	0	0	0	2	9	3	65	22	45	7	9	6	0	0	0	1	0	0	0	0	0	21	27	1	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Lachnospiraceae	 	 
ZOTU1082	4	21	1	0	1	5	0	0	0	1	3	2	15	7	11	2	3	3	0	0	1	0	0	0	2	0	0	139	172	71	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Lachnospiraceae	 	 
ZOTU464	6	23	6	9	41	29	6	9	12	0	9	2	91	35	63	13	10	4	1	0	1	3	6	3	3	1	4	57	43	17	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Ruminococcaceae	 Ruminiclostridium_5	 
ZOTU830	8	194	31	37	113	62	1	1	2	27	91	36	252	125	124	71	49	80	4	3	8	9	8	4	3	9	7	326	359	229	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Lachnospiraceae	 	 
